munic;pib;pib_pcap;area;dist_cap;pleb_caraj_dum;pleb_tapaj_dum;dum_car;dum_tap;bf;acomp_fami_bf;ifdm;emprego_renda;educ;saude;ifgf;rec_propria;pessoal;invest;liquidez;custo_divida;var_politica;carajsim;tapsim
Sao Geraldo do Araguaia;130322.442;5207.27;3168.4;679;1;1;1;0;1625;0.5384;0.512822175;0.385802233;0.537648974;0.615015319;0.418685274;0.071297094;0.497948741;0.316195981;0.694459468;0.632074854;3247667.11;0.987653424;0.987251402
Sao Joao da Ponta;17295.592;3433.03;195.9;132;0;0;0;0;302;0.6214;0.431923257;0;0.628707476;0.667062296;0.436927651;0.079661996;0.56221798;0.513852123;0.403267115;0.861528278;897184.06;0.055919096;0.058648407
Sao Joao de Pirabas;66196.484;3326.46;705.8;201;0;0;0;0;1512;0.8164;0.508009384;0.321110276;0.633718973;0.569198903;0.524533927;0.058833254;0.543242483;0.445068671;0.866080832;0.940582475;2293341.18;0.022581934;0.024419536
Sao Joao do Araguaia;42977.3;3604.57;1279.9;576;1;1;1;0;603;0.4711;0.472605219;0.311017985;0.553363895;0.553433777;0.253962101;0.038055445;0.533577226;0.112643333;0;1;1707484.26;0.968893826;0.966762087
Sao Miguel do Guama;171330.625;3822.81;1110.2;147;0;0;0;0;1980;0.4924;0.535286494;0.344615422;0.663967843;0.597276216;;;;;;;0.00;0.034993496;0.038648762
Sao Sebastiao da Boa Vista;54654.158;2498.59;1632.2;174;0;0;0;0;1536;0.8227;0.461419767;0.301034922;0.54560228;0.537622101;0.36980236;0.038823176;0.825150017;0.364135217;0;0.934779677;1875721.88;0.032218201;0.034586466
Sapucaia;43872.195;7821.75;1298.2;736;1;1;1;0;243;0.8526;0.534493728;0.352955414;0.521108291;0.729417478;;;;;;;1191416.26;0.987604812;0.986116186
Senador Jose Porfirio;50105.029;3471.32;14374.2;783;0;0;0;1;1135;0.7276;0.549390809;0.344720346;0.606713885;0.696738195;0.27364614;0.084947922;0.443566162;0.103356418;0.139890119;1;1854630.18;0.280046674;0.289283213
Soure;81680.953;3636.89;3517.3;81;0;0;0;0;1446;0.897;0.540830088;0.302461121;0.668547918;0.651481223;0.328774886;0.218429773;0.480835557;0.355299362;0;0.914978299;2371708.37;0.040382662;0.04195982
Tailandia;351910.173;4839.25;4430.2;249;0;0;0;0;3032;0.6293;0.573547068;0.488828109;0.614645046;0.61716805;0.351221027;0.086201278;0.464218573;0.179211581;0.426244348;0.91148977;6249725.65;0.119964153;0.128036128
Terra Alta;27078.787;2559.43;206.4;101;0;0;0;0;826;0.9775;0.539419632;0.360670244;0.597293387;0.660295265;;;;;;;0.00;0.036152153;0.038394965
Terra Santa;55202.808;3449.31;1896.5;1147;1;1;0;1;849;0.5702;0.527994564;0.289817761;0.641367671;0.652798261;0.362739933;0.10562142;0.536525245;0.670257021;0;0.674491036;1932571.92;0.882517092;0.914457159
Tome_Acu;226379.469;4657.34;5145.3;203;0;0;0;0;1713;0.4468;0.53208203;0.428453419;0.551754359;0.616038312;0.41906356;0.273344703;0;0.420318208;0.780928679;0.872804521;5413520.30;0.040359835;0.045544876
Tracuateua;69502.98;2497.86;936.1;198;0;0;0;0;2304;0.8685;0.513169016;0.358274831;0.533398911;0.647833308;0.273907007;0.031173433;0.577152432;0.224378934;0;0.865484272;2782988.69;0.039010726;0.041544042
Trairao;69021.68;4028.35;11991.1;1538;1;1;0;1;960;0.7138;0.504690497;0.390161858;0.543531112;0.580378519;0.236325772;0.068613547;0.447581132;0.181985037;0;0.792353359;1790772.47;0.971798275;0.977774092
Tucuma;244780.055;8839.7;2512.6;928.8;1;1;1;0;1215;0.6582;0.595685364;0.452895807;0.673724712;0.660435574;0.723835014;0.307133006;0.639490716;0.946243473;0.949708136;0.842555643;3957268.99;0.964606605;0.962773723
Tucurui;2170090.099;22602.75;2086.2;427;1;1;1;0;2388;0.4766;0.647726425;0.552979398;0.662495403;0.727704474;0.397002474;0.252116346;0.440500411;0.581022152;0.361651973;0.290620253;15006771.98;0.612892231;0.607013584
Uliancpolis;172814.858;4797.75;5088.4;390;0;0;0;0;2020;0.9124;0.59086912;0.426464417;0.608931723;0.73721122;0.51351859;0.127039348;0.555003534;0.251395172;0.976820793;0.83710349;3213754.73;0.332422984;0.338916256
Uruara;181708.82;5378.87;10791.3;965;1;1;0;1;2893;0.983;0.548291586;0.443254285;0.53605106;0.665569413;0.643735979;0.110234782;0.667481648;0.823037922;0.815850001;1;3805089.34;0.955456072;0.963564113
Vigia;164092.57;3551.4;539.1;99;0;0;0;0;2614;0.809;0.501658941;0.273969528;0.699519396;0.531487898;0.433522314;0.125826545;0.490446249;0.45597107;0.411560149;0.996664108;3396621.83;0.033495104;0.035022322
Viseu;158801.549;2860.67;4915;331;0;0;0;0;4972;0.8051;0.419558107;0.261877721;0.493440371;0.503356229;;;;;;;5023846.15;0.050563019;0.054793924
Vitcria do Xingu;68070.366;7043.71;3135.2;805;0;0;0;1;955;0.8826;0.429485416;0;0.692086977;0.59636927;;;;;;;1440898.47;0.312703583;0.316937799
Xinguara;419696.092;10355.45;3779.3;768.5;1;1;1;0;1339;0.4581;0.647487429;0.604167709;0.597293916;0.741000663;0.482339703;0.127961559;0.56870646;0.694197419;0.379973788;0.839008776;5140237.69;0.972761914;0.971493191
